,sensacion_termica,humedad,velocidad_viento,alquiler_casual,total_alquileres,alquiler_registrado_boxcox,estacion_map,año_map,mes_map,festivo_map,dia_sem_map,laborable_map,prevision_tiempo_map
0,-0.4563991203197833,0.8567140298507462,-0.20890882308794095,-0.49471323293816083,-1.2743853375055878,-1.4614775749657167,0.0,0,0.0,1,0.0,0,2.0
1,-0.4928625107770049,0.3325540298507464,0.6875500863711644,-0.7510413329061199,-1.3401877514528386,-1.4522141621715967,0.0,0,0.0,1,1.3,0,2.0
2,-1.098989843105253,-0.9035725373134327,0.6852095422964299,-0.7651393784043575,-1.1442109968708092,-1.1463988841951316,0.0,0,0.0,1,1.3,1,2.5
3,-1.0152007634960376,-0.17205253731343256,-0.21043526487581127,-0.7805190644024351,-1.0680375502905677,-1.0304349015556475,2.4,0,0.0,1,1.0,1,2.5
4,-0.9519523091605695,-0.9050817910447758,0.060294450620880104,-0.8138417173982698,-1.0544479213232008,-0.9980084845830601,2.4,0,0.0,1,0.0,1,2.5
5,-0.9374237541321458,-0.5167641791044776,-0.9302115902724953,-0.806151874399231,-1.0523021904336165,-0.9980084845830601,2.4,0,0.0,1,1.3,1,2.5
6,-1.0273097368797173,-0.6102089552238805,-0.12464923639749573,-0.7292534444088433,-1.0866338846669648,-1.077465287857161,2.2,0,0.0,1,1.0,1,2.0
7,-1.1991332291364107,-0.4328382089552236,0.8734198147408484,-0.8317846843960269,-1.2836835046937862,-1.3276127264614974,2.2,0,0.0,1,1.0,0,2.0
8,-1.3690903977463962,-0.9184071641791043,1.8416520170656192,-0.849727651393784,-1.3326776933392936,-1.39623561652167,2.2,0,0.0,1,1.0,0,2.5
9,-1.2410554318409202,-0.6855713432835819,0.4303751739507619,-0.8663889778917013,-1.154224407688869,-1.119826969852619,2.0,0,0.0,1,0.0,1,2.5
10,-1.0913954549855465,0.28611582089552234,-0.5988027608243804,-0.8638256968920218,-1.1749664729548503,-1.151106748360506,2.0,0,0.0,1,1.3,1,2.0
11,-1.205702245766424,-0.12854208955223848,1.2583171996916585,-0.886895225889138,-1.211086276262852,-1.1948005825318646,2.0,0,0.0,1,1.0,1,2.5
12,-1.2410738737741882,-0.7452728358208954,1.221407837260953,-0.8702338993912208,-1.1238265534197587,-1.0743824581328372,0.0,0,0.0,1,1.0,1,2.5
13,-1.1026487226655972,-0.4233194029850743,-0.5538643145894762,-0.849727651393784,-1.118462226195798,-1.074896107917882,0.0,0,0.0,1,1.0,1,2.5
14,-0.882455727833949,-0.6099510447761192,-0.23417652281648874,-0.6344120474206985,-1.1803308001788109,-1.2540711274697691,0.0,0,0.0,1,0.0,0,2.0
15,-0.9337058603853443,-0.6815928358208954,0.0758946856929156,-0.5972444729253444,-1.1960661600357623,-1.2936252070338286,0.0,0,0.0,1,0.0,0,2.5
16,-1.145588920086493,-0.42487641791044756,0.13271902531603696,-0.768984299903877,-1.2690210102816273,-1.3320261466571826,0.0,0,0.0,0,1.0,0,2.0
17,-0.9406547808406758,1.1233838805970153,-0.34802872763444764,-0.9074014738865748,-1.3823871256146625,-1.449904040524559,0.0,0,0.0,1,1.3,1,2.0
18,-0.6968929952926968,0.5505934328358213,0.2782398090930136,-0.818968279397629,-1.036566830576665,-0.9708240256493647,0.0,0,0.0,1,1.3,1,2.0
