,sensacion_termica,humedad,velocidad_viento,alquiler_casual,alquiler_registrado,total_alquileres_boxcox,estacion_map,año_map,mes_map,festivo_map,prevision_tiempo_map
0,-0.4563991203197833,0.8567140298507462,-0.20890882308794095,-0.49471323293816083,-1.3198158702323541,-1.360361887943588,0.0,0.0,0.0,1,1.5
1,-0.4928625107770049,0.3325540298507464,0.6875500863711644,-0.7510413329061199,-1.3128014028934678,-1.439458867178124,0.0,0.0,0.0,1,1.5
2,-1.098989843105253,-0.9035725373134327,0.6852095422964299,-0.7651393784043575,-1.0677334502411222,-1.2085385209127182,0.0,0.0,0.0,1,2.0
3,-1.0152007634960376,-0.17205253731343256,-0.21043526487581127,-0.7805190644024351,-0.9690925032880315,-1.1219385573713978,2.2,0.0,0.0,1,2.0
4,-0.9519523091605695,-0.9050817910447758,0.060294450620880104,-0.8138417173982698,-0.9410346339324858,-1.1066352892923503,2.2,0.0,0.0,1,2.0
5,-0.9374237541321458,-0.5167641791044776,-0.9302115902724953,-0.806151874399231,-0.9410346339324858,-1.1042227897943564,2.2,0.0,0.0,1,2.0
6,-1.0273097368797173,-0.6102089552238805,-0.12464923639749573,-0.7292534444088433,-1.0094256904866288,-1.142948895739952,2.5,0.0,0.0,1,1.5
7,-1.1991332291364107,-0.4328382089552236,0.8734198147408484,-0.8317846843960269,-1.2159140727750986,-1.3714288335945923,2.5,0.0,0.0,1,1.5
8,-1.3690903977463962,-0.9184071641791043,1.8416520170656192,-0.849727651393784,-1.2698377904427882,-1.430334615184871,2.5,0.0,0.0,1,2.0
9,-1.2410554318409202,-0.6855713432835819,0.4303751739507619,-0.8663889778917013,-1.0453748355984218,-1.2200338386717071,2.0,0.0,0.0,1,2.0
10,-1.0913954549855465,0.28611582089552234,-0.5988027608243804,-0.8638256968920218,-1.071679088119246,-1.2439346930944517,2.0,0.0,0.0,1,1.5
11,-1.205702245766424,-0.12854208955223848,1.2583171996916585,-0.886895225889138,-1.1080666374397194,-1.2858582677086976,2.0,0.0,0.0,1,2.0
12,-1.2410738737741882,-0.7452728358208954,1.221407837260953,-0.8702338993912208,-1.0067952652345462,-1.1852205300490946,0.0,0.0,0.0,1,2.0
13,-1.1026487226655972,-0.4233194029850743,-0.5538643145894762,-0.849727651393784,-1.0072336694432267,-1.1791022660660493,0.0,0.0,0.0,1,2.0
14,-0.882455727833949,-0.6099510447761192,-0.23417652281648874,-0.6344120474206985,-1.1567295046032442,-1.250136088215906,0.0,0.0,0.0,1,1.5
15,-0.9337058603853443,-0.6815928358208954,0.0758946856929156,-0.5972444729253444,-1.1887330118369137,-1.268376268985982,0.0,0.0,0.0,1,2.0
16,-1.145588920086493,-0.42487641791044756,0.13271902531603696,-0.768984299903877,-1.2194213064445418,-1.3539922820018793,0.0,0.0,0.0,0,1.5
17,-0.9406547808406758,1.1233838805970153,-0.34802872763444764,-0.9074014738865748,-1.3110477860587462,-1.4912605403173995,0.0,0.0,0.0,1,1.5
18,-0.6968929952926968,0.5505934328358213,0.2782398090930136,-0.818968279397629,-0.917360806663744,-1.0865622041859149,0.0,0.0,0.0,1,1.5
19,-0.8568657012314603,-0.4208979104477609,0.1519216630074464,-0.81256007689843,-0.7981148619026742,-0.9765511122263131,0.0,0.0,0.0,1,1.5
20,-1.2154395865318564,-0.8089576119402982,1.7530369831404506,-0.8228132008971484,-0.9629548443665059,-1.1296060380118105,0.0,0.0,0.0,1,2.0
21,-1.50594945988188,-1.0815928358208953,-0.09163738866515202,-0.799743671900032,-1.21722928540114,-1.3620623086353845,0.0,0.0,0.0,1,2.0
22,-1.4330318999340705,-0.9071594029850744,0.6678182821932935,-0.7266901634091637,-1.2400263042525208,-1.3599369057243114,0.0,0.0,0.0,1,2.0
23,-1.3626172791693756,-0.6434364179104474,-0.2304418285754991,-0.8087151553989106,-1.0234546251644017,-1.1811408665732726,0.0,0.0,0.0,1,2.0
24,-0.9325661489093904,-0.045380298507462384,-0.5208117617427894,-0.6805511054149311,-0.8178430512932924,-0.9537526835045753,0.0,0.0,0.0,1,1.5
25,-1.0466331945577858,1.1273623880597017,1.1486474453724647,-0.87536046139058,-1.3996054362121877,-1.5709756200843574,0.0,0.0,0.0,1,0.0
26,-0.9872501694352621,0.29154149253731365,-0.6832149916936125,-0.899711630887536,-1.4241560718982902,-1.605670061511435,0.0,0.0,0.0,1,2.0
27,-0.9739092749092889,0.7956274626865673,-0.5869168674361628,-0.8702338993912208,-1.1115738711091627,-1.283773352920596,0.0,0.0,0.0,1,1.5
28,-1.0151860099494232,0.12074268656716454,-0.36237728044042944,-0.7612944569048382,-1.1790881192459448,-1.3126371630860876,0.0,0.0,0.0,1,2.0
29,-0.8743043933295529,0.457148656716418,-1.0887844689636224,-0.7395065684075617,-1.1874177992108723,-1.3134768180074428,0.0,0.0,0.0,1,2.0
30,-1.1106267029972754,-0.10845850746268637,0.06326592396793458,-0.8651073373918616,-0.9669004822446295,-1.146593592394007,0.0,0.0,0.0,1,1.5
31,-0.9325513953627761,0.9700608955223885,-1.3001417046793073,-0.8586991348926626,-1.0309074967119685,-1.2040299619844528,0.0,0.0,0.5,1,1.5
32,-0.8592004499831719,0.7114435820895527,0.8480198233906848,-0.8266581223966677,-0.9690925032880315,-1.1364755294533282,0.0,0.0,0.5,1,1.5
33,-1.1415058760609877,-0.9009313432835818,0.9848297126982145,-0.8407561678949055,-0.9537483559842175,-1.1267799329840433,0.0,0.0,0.5,1,2.0
34,-0.9544714772449598,-0.19697432835820863,-0.5407267389352051,-0.806151874399231,-0.8963174046470846,-1.0633638992835963,2.2,0.0,0.5,1,1.5
35,-0.9010968339811064,1.4457719402985079,-0.20246723874312772,-0.7907721884011535,-1.209776413853573,-1.3518715043579088,2.2,0.0,0.5,1,1.5
36,-0.7217932935909672,-0.2776143283582087,-0.3986557135988154,-0.46523550144184556,-1.0501972818939063,-1.0973929320072033,2.2,0.0,0.5,1,2.0
37,-0.677580602774589,0.5343259701492536,-1.3795645061579207,-0.7651393784043575,-0.9085927224901359,-1.0617673552421902,2.5,0.0,0.5,1,2.0
38,-1.066380816701015,-0.42288477611940284,1.8416520170656192,-0.836911246395386,-0.9638316527838667,-1.1348583981430926,2.5,0.0,0.5,1,2.0
39,-1.2654172256877692,-0.6288979104477611,0.0800262547987513,-0.8510092918936238,-0.9261288908373521,-1.104624801681278,2.5,0.0,0.5,1,1.5
40,-1.2459978699567078,-0.9030089552238804,0.41682037087447305,-0.8586991348926626,-0.9528715475668567,-1.1316255779710316,2.0,0.0,0.5,1,2.0
41,-1.010084971207532,-0.5735856716417908,-0.7370169765767508,-0.7279718039090035,-0.9064007014467339,-1.048213765684313,2.0,0.0,0.5,1,2.0
42,-0.938364292728807,-0.39303402985074615,0.22786723009329096,-0.5498237744312721,-1.0874616396317405,-1.1583546308889892,2.0,0.0,0.5,1,2.0
43,-0.6021346537757555,-0.8074865671641789,0.8131660692343115,-0.4101249599487344,-1.0839544059622972,-1.1110608839401734,0.0,0.0,0.5,1,2.0
44,-0.32831989377446436,-1.1970173134328355,2.411096214169959,-0.6523550144184557,-0.8590530469092503,-0.9820658084818932,0.0,0.0,0.5,1,2.0
45,-0.8597278892746328,-1.490677014925373,1.1234509795940175,-0.7395065684075617,-0.8722051731696624,-1.020799553977322,0.0,0.0,0.5,1,2.0
46,-0.6313208573654777,-0.9694591044776117,0.7206433443321946,-0.6395386094200577,-0.7748794388426129,-0.9029242687644916,0.0,0.0,0.5,1,2.0
47,-0.2165322710779771,-0.5801002985074625,0.4999503906418943,-0.5869913489266261,-0.6350284962735643,-0.7639511158706258,0.0,0.0,0.5,1,2.0
48,0.09080254683098452,-0.5243773134328357,0.8542985872781251,-0.1768663889778917,-0.577159140727751,-0.5926656950321575,0.0,0.0,0.5,1,2.0
49,-0.35393942747018176,-2.094526567164179,3.3224328429215073,-0.23710349247036205,-1.122972380534853,-1.0925767625980625,0.0,0.0,0.5,1,2.0
50,-0.7746884465898561,-1.044214925373134,0.43004953303601634,-0.099967958987504,-1.092284085927225,-1.021988977246383,0.0,0.0,0.5,1,2.0
51,-0.7498102786115071,-0.10248835820895502,1.2910746404593574,-0.669016340916373,-1.2067075843928101,-1.3088608655222087,0.0,0.0,0.5,0,1.5
52,-1.1114270829011008,-0.23250388059701477,0.14967270543998412,-0.8240948413969882,-1.003288031565103,-1.167294385189858,0.0,0.0,0.5,1,2.0
53,-0.8912894138692561,-0.9715367164179104,-0.8839319105199824,-0.7407882089074015,-0.8270495396755809,-0.9804897135408883,0.0,0.0,0.5,1,2.0
54,-0.730940492491828,0.3387820895522387,0.7074650635635803,-0.7907721884011535,-0.8581762384918895,-1.0239718478512236,0.0,0.0,0.5,1,1.5
55,-0.5049530422274167,0.4093874626865673,1.6848253877798156,-0.7651393784043575,-1.0186321788689172,-1.1628225921860245,0.0,0.0,0.5,1,1.5
56,-0.7567555106801848,-0.42288477611940284,0.056946454966151056,-0.3755206664530599,-0.9291977202981149,-0.9600342361158577,0.0,0.0,0.5,1,2.0
57,-0.5025629676759015,0.25572059701492555,-0.5670934767510194,-0.029477731496315284,-0.8577378342832092,-0.7919343441698471,0.0,0.0,0.5,1,2.0
58,-0.32179882617094746,1.1935785074626866,1.1062734213411825,-0.8151233578981096,-1.0081104778605874,-1.168921448058073,0.0,0.0,0.5,1,1.5
59,-0.8243009354670653,-0.43681671641791026,0.36074907586670085,-0.7433514899070811,-0.8551074090311267,-1.006543815733629,0.0,0.0,1.0,1,2.0
